Feature,Frequency
stargazers,10
watchers,10
contributors,9
total pull requests,9
open pull requests,8
branches,5
total issues,5
Csum_TCD,4
Csum_TNS,4
Psum_TNS,4
commits,4
Cstd_NLS,3
Cstd_NM,3
Psum_TCD,3
open issues,3
releases,3
size,3
Cmax_PUA,2
Cmax_TCLOC,2
Cmax_TNLM,2
Cstd_DIT,2
Cstd_LCOM5,2
Csum_NA,2
Csum_NII,2
Csum_TNLA,2
Csum_TNLM,2
Csum_TNLS,2
Pmax_TNS,2
Pstd_NS,2
Pstd_TNS,2
Psum_AD,2
Psum_TAD,2
Psum_TNA,2
Cmax_DLOC,1
Cmax_NLS,1
Cmax_NM,1
Cmax_NOD,1
Cmax_NOS,1
Cmax_NPM,1
Cmax_NS,1
Cmax_PDA,1
Cmax_TCD,1
Cmax_TNLPM,1
Cmax_TNLS,1
Cmax_TNOS,1
Cmed_NLS,1
Cmed_NM,1
Cmin_NOS,1
Cstd_CBO,1
Cstd_CBOI,1
Cstd_CLOC,1
Cstd_NII,1
Cstd_NL,1
Cstd_NLA,1
Cstd_NOA,1
Cstd_NS,1
Cstd_PDA,1
Cstd_RFC,1
Cstd_TNLS,1
Cstd_TNPM,1
Csum_CBO,1
Csum_CLOC,1
Csum_NG,1
Csum_NLPM,1
Csum_NM,1
Csum_NOP,1
Csum_NOS,1
Csum_NPM,1
Csum_NS,1
Csum_PDA,1
Csum_RFC,1
Csum_TCLOC,1
Csum_TNLPA,1
Csum_TNLPM,1
Csum_TNM,1
Csum_TNPM,1
Csum_WMC,1
Fmax_LOC,1
Fmax_PUA,1
Fmed_LLOC,1
Fsum_McCC,1
Pmax_CD,1
Pmax_TNM,1
Pmax_TNOS,1
Pmax_TNPCL,1
Pmax_TNPIN,1
Pmax_TNPKG,1
Pmax_TNPM,1
Pmed_TLLOC,1
Pmed_TNM,1
Pmed_TPDA,1
Pmin_TLLOC,1
Pmin_TNA,1
Pstd_CLOC,1
Pstd_NPKG,1
Pstd_TNCL,1
Pstd_TNDI,1
Pstd_TNM,1
Pstd_TNPKG,1
Pstd_TNPM,1
Pstd_TPDA,1
Psum_CD,1
Psum_NM,1
Psum_NPM,1
Psum_NS,1
Psum_TLOC,1
Psum_TNDI,1
Psum_TNPCL,1
Psum_TNPIN,1
Psum_TNPM,1
is archived,1
