Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.616,0.587,0.629,0.55,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",50,PowerTransformer(),rf,0,False
0.601,0.556,0.62,0.504,"MLPClassifier(max_iter=10000, random_state=27033074)",50,MaxAbsScaler(),rf,0,True
0.618,0.593,0.629,0.561,"SVC(gamma='auto', random_state=27033074)",50,PowerTransformer(),rf,0,True
0.562,0.51,0.573,0.46,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",50,PowerTransformer(),kb,0,True
0.587,0.642,0.563,0.747,"SGDClassifier(loss='huber', n_jobs=-1, random_state=27033074)",400,QuantileTransformer(random_state=27033074),rf,0,False
0.603,0.597,0.599,0.595,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",50,PowerTransformer(),kb,0,False
0.581,0.59,0.572,0.61,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",464,PowerTransformer(),,0,True
0.588,0.444,0.67,0.332,"SGDClassifier(n_jobs=-1, random_state=27033074)",200,QuantileTransformer(random_state=27033074),kb,0,True
0.543,0.534,0.54,0.529,DecisionTreeClassifier(random_state=27033074),400,MaxAbsScaler(),kb,0,False
0.612,0.598,0.614,0.582,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",200,QuantileTransformer(random_state=27033074),rf,0,True
