"Accuracy","F1-Score","Precision","Recall","Model","Num_Features","Preprocessing","Fea_Selection","Dim_Reduction","Var_Threshold"
0.852,0.845,0.878,0.814,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,,,0,"False"
0.852,0.845,0.878,0.815,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"StandardScaler()",,0,"False"
0.85,0.843,0.878,0.811,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"MinMaxScaler()",,0,"False"
0.85,0.843,0.877,0.811,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"MaxAbsScaler()",,0,"False"
0.852,0.845,0.877,0.815,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"RobustScaler()",,0,"False"
0.852,0.845,0.877,0.816,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"PowerTransformer()",,0,"False"
0.852,0.845,0.876,0.816,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.851,0.844,0.876,0.815,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.815,0.829,0.763,0.908,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"normalize",,0,"False"
0.792,0.796,0.776,0.816,"MLPClassifier(max_iter=10000, random_state=27033074)",478,,,0,"False"
0.796,0.79,0.806,0.775,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"StandardScaler()",,0,"False"
0.827,0.815,0.866,0.77,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"MinMaxScaler()",,0,"False"
0.815,0.817,0.8,0.835,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"MaxAbsScaler()",,0,"False"
0.809,0.802,0.826,0.778,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"RobustScaler()",,0,"False"
0.825,0.822,0.831,0.812,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"PowerTransformer()",,0,"False"
0.817,0.808,0.839,0.78,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.811,0.802,0.834,0.772,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.749,0.782,0.686,0.911,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"normalize",,0,"False"
0.507,0.011,0.917,0.006,"SVC(gamma='auto', random_state=27033074)",478,,,0,"False"
0.73,0.667,0.855,0.547,"SVC(gamma='auto', random_state=27033074)",478,"StandardScaler()",,0,"False"
0.591,0.57,0.594,0.549,"SVC(gamma='auto', random_state=27033074)",478,"MinMaxScaler()",,0,"False"
0.591,0.571,0.594,0.549,"SVC(gamma='auto', random_state=27033074)",478,"MaxAbsScaler()",,0,"False"
0.772,0.765,0.78,0.75,"SVC(gamma='auto', random_state=27033074)",478,"RobustScaler()",,0,"False"
0.852,0.847,0.872,0.823,"SVC(gamma='auto', random_state=27033074)",478,"PowerTransformer()",,0,"False"
0.85,0.844,0.868,0.821,"SVC(gamma='auto', random_state=27033074)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.786,0.773,0.815,0.735,"SVC(gamma='auto', random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.506,0.005,0.818,0.002,"SVC(gamma='auto', random_state=27033074)",478,"normalize",,0,"False"
0.585,0.523,0.607,0.46,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,,,0,"False"
0.605,0.532,0.644,0.452,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,"StandardScaler()",,0,"False"
0.577,0.513,0.596,0.45,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,"MinMaxScaler()",,0,"False"
0.576,0.513,0.596,0.45,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,"MaxAbsScaler()",,0,"False"
0.661,0.584,0.744,0.48,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,"RobustScaler()",,0,"False"
0.696,0.663,0.735,0.604,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,"PowerTransformer()",,0,"False"
0.691,0.66,0.726,0.605,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.644,0.614,0.663,0.571,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
