Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.851,0.844,0.875,0.816,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,,,0,True
0.851,0.844,0.874,0.816,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,StandardScaler(),,0,True
0.852,0.845,0.877,0.815,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,MinMaxScaler(),,0,True
0.852,0.845,0.877,0.815,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,MaxAbsScaler(),,0,True
0.851,0.844,0.875,0.815,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,RobustScaler(),,0,True
0.851,0.844,0.877,0.814,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,PowerTransformer(),,0,True
0.851,0.844,0.875,0.816,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,QuantileTransformer(random_state=27033074),,0,True
0.85,0.844,0.874,0.816,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.781,0.738,0.905,0.622,"MLPClassifier(max_iter=10000, random_state=27033074)",478,,,0,True
0.796,0.791,0.802,0.78,"MLPClassifier(max_iter=10000, random_state=27033074)",478,StandardScaler(),,0,True
0.835,0.824,0.872,0.782,"MLPClassifier(max_iter=10000, random_state=27033074)",478,MinMaxScaler(),,0,True
0.837,0.828,0.871,0.788,"MLPClassifier(max_iter=10000, random_state=27033074)",478,MaxAbsScaler(),,0,True
0.819,0.815,0.827,0.803,"MLPClassifier(max_iter=10000, random_state=27033074)",478,RobustScaler(),,0,True
0.823,0.82,0.827,0.812,"MLPClassifier(max_iter=10000, random_state=27033074)",478,PowerTransformer(),,0,True
0.813,0.809,0.82,0.799,"MLPClassifier(max_iter=10000, random_state=27033074)",478,QuantileTransformer(random_state=27033074),,0,True
0.808,0.811,0.79,0.833,"MLPClassifier(max_iter=10000, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.507,0.01,0.913,0.005,"SVC(gamma='auto', random_state=27033074)",478,,,0,True
0.734,0.674,0.858,0.555,"SVC(gamma='auto', random_state=27033074)",478,StandardScaler(),,0,True
0.564,0.573,0.556,0.59,"SVC(gamma='auto', random_state=27033074)",478,MinMaxScaler(),,0,True
0.564,0.573,0.556,0.59,"SVC(gamma='auto', random_state=27033074)",478,MaxAbsScaler(),,0,True
