Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.852,0.845,0.877,0.816,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",478,PowerTransformer(),,0,False
0.85,0.843,0.877,0.811,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",400,PowerTransformer(),kb,0,False
0.852,0.845,0.877,0.816,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",300,PowerTransformer(),kb,0,False
0.853,0.846,0.876,0.819,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",200,PowerTransformer(),kb,0,False
0.856,0.849,0.881,0.819,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",100,PowerTransformer(),kb,0,False
0.857,0.85,0.882,0.82,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",50,PowerTransformer(),kb,0,False
0.837,0.828,0.871,0.788,"MLPClassifier(max_iter=10000, random_state=27033074)",478,MaxAbsScaler(),,0,True
0.835,0.826,0.862,0.793,"MLPClassifier(max_iter=10000, random_state=27033074)",400,MaxAbsScaler(),kb,0,True
0.842,0.833,0.875,0.795,"MLPClassifier(max_iter=10000, random_state=27033074)",300,MaxAbsScaler(),kb,0,True
0.845,0.838,0.867,0.812,"MLPClassifier(max_iter=10000, random_state=27033074)",200,MaxAbsScaler(),kb,0,True
0.844,0.831,0.901,0.771,"MLPClassifier(max_iter=10000, random_state=27033074)",100,MaxAbsScaler(),kb,0,True
0.847,0.839,0.877,0.804,"MLPClassifier(max_iter=10000, random_state=27033074)",50,MaxAbsScaler(),kb,0,True
0.853,0.848,0.871,0.825,"SVC(gamma='auto', random_state=27033074)",478,PowerTransformer(),,0,True
0.853,0.847,0.872,0.824,"SVC(gamma='auto', random_state=27033074)",400,PowerTransformer(),kb,0,True
0.855,0.849,0.875,0.824,"SVC(gamma='auto', random_state=27033074)",300,PowerTransformer(),kb,0,True
0.856,0.85,0.877,0.825,"SVC(gamma='auto', random_state=27033074)",200,PowerTransformer(),kb,0,True
0.853,0.847,0.873,0.823,"SVC(gamma='auto', random_state=27033074)",100,PowerTransformer(),kb,0,True
0.858,0.852,0.884,0.822,"SVC(gamma='auto', random_state=27033074)",50,PowerTransformer(),kb,0,True
0.703,0.672,0.742,0.614,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",478,PowerTransformer(),,0,True
0.714,0.684,0.755,0.625,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",400,PowerTransformer(),kb,0,True
0.746,0.718,0.798,0.653,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",300,PowerTransformer(),kb,0,True
