R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
-0.026,147.71,564.041,55.823,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",50,QuantileTransformer(random_state=27033074),kb,0,TRUE
0.038,144.575,546.284,65.936,"MLPRegressor(max_iter=10000, random_state=27033074)",50,"QuantileTransformer(output_distribution='normal', random_state=27033074)",rf,0,TRUE
-0.014,92.421,560.676,12.124,SVR(gamma='auto'),50,StandardScaler(),kb,0,TRUE
-0.081,141.647,578.947,35.5,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",50,normalize,rf,0,FALSE
-0.009,93.074,559.433,11.85,"SGDRegressor(loss='huber', max_iter=10000, random_state=27033074)",100,RobustScaler(),rf,0,TRUE
0.025,135.57,549.902,64.122,"SGDRegressor(max_iter=10000, random_state=27033074)",100,MinMaxScaler(),,1,TRUE
-0.01,92.7,559.54,12.428,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",100,StandardScaler(),rf,0,FALSE
0.016,149.771,552.426,80.549,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",200,normalize,rf,0,FALSE
-0.917,171.345,770.922,25,"DecisionTreeRegressor(ccp_alpha=0.0, criterion='mse', max_depth=None,
                      max_features=None, max_leaf_nodes=None,
                      min_impurity_decrease=0.0, min_impurity_split=None,
                      min_samples_leaf=1, min_samples_split=2,
                      min_weight_fraction_leaf=0.0, presort='deprecated',
                      random_state=27033074, splitter='best')",50,"MinMaxScaler(copy=True, feature_range=(0, 1))",kb,0,FALSE
0.011,162.196,553.843,87.539,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",100,normalize,,1,FALSE
