R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.846,39.652,218.309,7.759,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,,,0,False
0.841,39.791,222.001,7.727,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,StandardScaler(),,0,False
0.84,39.867,222.937,7.855,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,MinMaxScaler(),,0,False
0.84,39.864,222.937,7.863,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,MaxAbsScaler(),,0,False
0.844,39.715,219.816,7.709,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,RobustScaler(),,0,False
0.839,40.171,223.314,7.781,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,PowerTransformer(),,0,False
0.843,40.095,220.924,7.843,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,False
0.811,40.28,242.241,7.742,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
0.482,111.353,400.931,30.556,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,normalize,,0,False
-162.523,1440.851,7120.561,202.649,"MLPRegressor(max_iter=10000, random_state=27033074)",472,,,0,False
0.54,70.016,377.667,26.213,"MLPRegressor(max_iter=10000, random_state=27033074)",472,StandardScaler(),,0,False
0.713,68.485,298.072,24.853,"MLPRegressor(max_iter=10000, random_state=27033074)",472,MinMaxScaler(),,0,False
0.714,68.513,297.873,24.893,"MLPRegressor(max_iter=10000, random_state=27033074)",472,MaxAbsScaler(),,0,False
0.544,60.729,376.011,17.29,"MLPRegressor(max_iter=10000, random_state=27033074)",472,RobustScaler(),,0,False
0.471,110.753,404.845,55.789,"MLPRegressor(max_iter=10000, random_state=27033074)",472,PowerTransformer(),,0,False
0.257,105.053,479.853,38.719,"MLPRegressor(max_iter=10000, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,False
0.695,62.77,307.43,21.461,"MLPRegressor(max_iter=10000, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
0.544,118.863,376.206,46.797,"MLPRegressor(max_iter=10000, random_state=27033074)",472,normalize,,0,False
-0.023,93.475,563.155,12.912,SVR(gamma='auto'),472,,,0,False
0.01,86.921,554.053,10.853,SVR(gamma='auto'),472,StandardScaler(),,0,False
-0.021,92.997,562.644,12.442,SVR(gamma='auto'),472,MinMaxScaler(),,0,False
-0.021,92.997,562.644,12.442,SVR(gamma='auto'),472,MaxAbsScaler(),,0,False
-0.006,83.347,558.554,10.113,SVR(gamma='auto'),472,RobustScaler(),,0,False
0.007,83.944,554.889,9.745,SVR(gamma='auto'),472,PowerTransformer(),,0,False
-0.008,87.256,559.108,9.565,SVR(gamma='auto'),472,QuantileTransformer(random_state=27033074),,0,False
-0.007,89.246,558.78,10.577,SVR(gamma='auto'),472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
-0.023,93.469,563.139,12.898,SVR(gamma='auto'),472,normalize,,0,False
0.031,118,548.264,30.4,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",472,,,0,False
0.562,77.589,368.598,24.7,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",472,StandardScaler(),,0,False
0.343,106.068,451.24,36,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",472,MinMaxScaler(),,0,False
0.343,106.093,451.248,36,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",472,MaxAbsScaler(),,0,False
0.561,63.422,369.059,16.7,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",472,RobustScaler(),,0,False
