R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.849,39.697,216.031,7.867,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,,,0,True
0.847,39.858,217.788,7.832,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,StandardScaler(),,0,True
0.842,39.99,221.494,7.824,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,MinMaxScaler(),,0,True
0.842,39.99,221.49,7.833,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,MaxAbsScaler(),,0,True
0.851,39.64,215.03,7.857,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,RobustScaler(),,0,True
0.848,39.866,217.388,7.865,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,PowerTransformer(),,0,True
0.852,39.845,214.192,7.9,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,True
0.818,40.247,237.424,7.902,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.482,111.353,400.931,30.556,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,normalize,,0,False
-239.436,1331.061,8634.238,158.758,"MLPRegressor(max_iter=10000, random_state=27033074)",472,,,0,True
0.62,64.394,343.12,23.319,"MLPRegressor(max_iter=10000, random_state=27033074)",472,StandardScaler(),,0,True
0.648,73.08,330.322,27.622,"MLPRegressor(max_iter=10000, random_state=27033074)",472,MinMaxScaler(),,0,True
0.636,73.509,335.821,27.849,"MLPRegressor(max_iter=10000, random_state=27033074)",472,MaxAbsScaler(),,0,True
0.641,59.559,333.599,18.594,"MLPRegressor(max_iter=10000, random_state=27033074)",472,RobustScaler(),,0,True
0.472,124.152,404.709,71.799,"MLPRegressor(max_iter=10000, random_state=27033074)",472,PowerTransformer(),,0,True
0.204,105.022,496.895,41.331,"MLPRegressor(max_iter=10000, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,True
0.74,62.465,284.189,19.596,"MLPRegressor(max_iter=10000, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.544,118.863,376.206,46.797,"MLPRegressor(max_iter=10000, random_state=27033074)",472,normalize,,0,False
