R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.852,39.845,214.192,7.9,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,True
-0.084,138.051,579.682,37.722,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",400,QuantileTransformer(random_state=27033074),,1,True
-0.054,134.571,571.748,38.08,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",300,QuantileTransformer(random_state=27033074),,1,True
0.046,126.955,543.876,36.753,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",200,QuantileTransformer(random_state=27033074),,1,True
0.056,119.748,541.011,33.761,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",100,QuantileTransformer(random_state=27033074),,1,True
0.053,114.295,541.74,30.859,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",50,QuantileTransformer(random_state=27033074),,1,True
0.74,62.465,284.189,19.596,"MLPRegressor(max_iter=10000, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.617,88.853,344.69,36.723,"MLPRegressor(max_iter=10000, random_state=27033074)",400,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,1,True
0.535,186.855,379.507,120.224,"MLPRegressor(max_iter=10000, random_state=27033074)",300,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,1,True
0.601,100.167,351.798,47.745,"MLPRegressor(max_iter=10000, random_state=27033074)",200,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,1,True
0.666,73.908,322.015,28.586,"MLPRegressor(max_iter=10000, random_state=27033074)",100,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,1,True
0.27,201.017,475.693,132.836,"MLPRegressor(max_iter=10000, random_state=27033074)",50,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,1,True
0.013,86.288,553.133,10.657,SVR(gamma='auto'),472,StandardScaler(),,0,True
0.013,86.219,553.112,10.659,SVR(gamma='auto'),400,StandardScaler(),,1,True
0.013,85.72,553.07,10.565,SVR(gamma='auto'),300,StandardScaler(),,1,True
0.012,85.27,553.465,10.488,SVR(gamma='auto'),200,StandardScaler(),,1,True
0.008,85.058,554.618,10.544,SVR(gamma='auto'),100,StandardScaler(),,1,True
0.005,85.075,555.462,10.724,SVR(gamma='auto'),50,StandardScaler(),,1,True
0.62,80.642,343.088,25.55,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",472,normalize,,0,False
0.62,80.652,343.322,25.6,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",400,normalize,,1,False
0.62,80.681,343.352,25.5,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",300,normalize,,1,False
0.62,80.633,343.09,25.6,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",200,normalize,,1,False
0.668,79.184,320.71,25.7,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",100,normalize,,1,False
0.688,80.496,311.177,26.85,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",50,normalize,,1,False
0.771,43.943,266.576,8.134,"SGDRegressor(loss='huber', max_iter=10000, random_state=27033074)",472,RobustScaler(),,0,True
0.735,45.194,286.729,8.093,"SGDRegressor(loss='huber', max_iter=10000, random_state=27033074)",400,RobustScaler(),,1,True
0.717,45.301,296.1,7.598,"SGDRegressor(loss='huber', max_iter=10000, random_state=27033074)",300,RobustScaler(),,1,True
0.733,45.493,287.853,7.799,"SGDRegressor(loss='huber', max_iter=10000, random_state=27033074)",200,RobustScaler(),,1,True
0.734,44.895,286.962,7.846,"SGDRegressor(loss='huber', max_iter=10000, random_state=27033074)",100,RobustScaler(),,1,True
0.731,45.813,289.068,8.057,"SGDRegressor(loss='huber', max_iter=10000, random_state=27033074)",50,RobustScaler(),,1,True
0.743,59.012,282.288,20.681,"SGDRegressor(max_iter=10000, random_state=27033074)",472,MinMaxScaler(),,0,True
0.743,59.057,282.284,20.792,"SGDRegressor(max_iter=10000, random_state=27033074)",400,MinMaxScaler(),,1,True
0.743,59.064,282.303,20.777,"SGDRegressor(max_iter=10000, random_state=27033074)",300,MinMaxScaler(),,1,True
0.742,59.104,282.82,20.751,"SGDRegressor(max_iter=10000, random_state=27033074)",200,MinMaxScaler(),,1,True
0.805,59.357,246.073,21.699,"SGDRegressor(max_iter=10000, random_state=27033074)",100,MinMaxScaler(),,1,True
0.798,61.337,249.958,22.668,"SGDRegressor(max_iter=10000, random_state=27033074)",50,MinMaxScaler(),,1,True
0.769,43.461,267.644,8.537,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,StandardScaler(),,0,False
0.769,43.49,267.697,8.541,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",400,StandardScaler(),,1,False
0.769,43.474,267.668,8.472,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",300,StandardScaler(),,1,False
0.769,43.52,267.552,8.506,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",200,StandardScaler(),,1,False
0.739,49.959,284.563,11.778,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",100,StandardScaler(),,1,False
0.38,73.565,438.572,14.073,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",50,StandardScaler(),,1,False
0.771,78.662,266.656,34.833,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,normalize,,0,False
0.771,78.659,266.657,34.824,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",400,normalize,,1,False
0.771,78.762,266.73,34.917,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",300,normalize,,1,False
0.771,78.554,266.633,34.782,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",200,normalize,,1,False
0.774,83.561,264.571,37.775,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",100,normalize,,1,False
0.678,103.149,315.926,51.167,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",50,normalize,,1,False
0.749,54.759,279.039,10.0,DecisionTreeRegressor(random_state=27033074),472,MinMaxScaler(),,0,False
-1.25,118.612,835.243,23.0,DecisionTreeRegressor(random_state=27033074),400,MinMaxScaler(),,1,False
-1.14,118.019,814.52,23.0,DecisionTreeRegressor(random_state=27033074),300,MinMaxScaler(),,1,False
-1.196,115.736,825.139,23.0,DecisionTreeRegressor(random_state=27033074),200,MinMaxScaler(),,1,False
0.162,98.658,509.598,22.0,DecisionTreeRegressor(random_state=27033074),100,MinMaxScaler(),,1,False
0.176,104.371,505.481,22.0,DecisionTreeRegressor(random_state=27033074),50,MinMaxScaler(),,1,False
0.592,95.453,355.544,34.142,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,normalize,,0,False
0.592,95.469,355.58,34.116,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",400,normalize,,1,False
0.59,95.307,356.533,33.391,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",300,normalize,,1,False
0.593,95.642,355.398,34.77,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",200,normalize,,1,False
0.632,103.725,337.94,40.501,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",100,normalize,,1,False
0.527,138.481,383.15,58.527,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",50,normalize,,1,False
