Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.78,0.56,0.636,0.5,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",388,PowerTransformer(),,0,True
0.84,0.667,0.8,0.571,"MLPClassifier(max_iter=10000, random_state=27033074)",388,RobustScaler(),,0,True
0.78,0.522,0.667,0.429,"SVC(gamma='auto', random_state=27033074)",388,PowerTransformer(),,0,True
0.78,0.522,0.667,0.429,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",388,QuantileTransformer(random_state=27033074),,0,True
0.68,0.556,0.455,0.714,"SGDClassifier(loss='huber', n_jobs=-1, random_state=27033074)",388,normalize,,0,False
0.76,0.625,0.556,0.714,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",388,normalize,,0,False
0.84,0.667,0.8,0.571,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",388,QuantileTransformer(random_state=27033074),,0,False
0.8,0.667,0.625,0.714,"SGDClassifier(n_jobs=-1, random_state=27033074)",388,PowerTransformer(),,0,True
0.8,0.545,0.75,0.429,DecisionTreeClassifier(random_state=27033074),388,QuantileTransformer(random_state=27033074),,0,True
0.84,0.667,0.8,0.571,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",388,QuantileTransformer(random_state=27033074),,0,False
