Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.78,0.56,0.636,0.5,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",50,PowerTransformer(),rf,0,True
0.84,0.667,0.8,0.571,"MLPClassifier(max_iter=10000, random_state=27033074)",388,RobustScaler(),,0,True
0.8,0.583,0.7,0.5,"SVC(gamma='auto', random_state=27033074)",100,PowerTransformer(),kb,0,True
0.78,0.56,0.636,0.5,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",50,QuantileTransformer(random_state=27033074),rf,0,True
0.76,0.6,0.562,0.643,"SGDClassifier(loss='huber', n_jobs=-1, random_state=27033074)",50,normalize,kb,0,False
0.88,0.75,0.9,0.643,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",50,normalize,,1,False
0.84,0.667,0.8,0.571,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",388,QuantileTransformer(random_state=27033074),,0,False
0.82,0.667,0.692,0.643,"SGDClassifier(n_jobs=-1, random_state=27033074)",100,PowerTransformer(),rf,0,True
0.74,0.552,0.533,0.571,DecisionTreeClassifier(random_state=27033074),100,QuantileTransformer(random_state=27033074),kb,0,True
0.84,0.667,0.8,0.571,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",388,QuantileTransformer(random_state=27033074),,0,False
